last_name,first_name,type,state,party,twitter,govtrack_id,position
Brown,Sherrod,sen,OH,Democrat,SenSherrodBrown,400050,f
Cantwell,Maria,sen,WA,Democrat,CantwellPress,300018,a
Cardin,Benjamin,sen,MD,Democrat,SenatorCardin,400064,f
Carper,Thomas,sen,DE,Democrat,SenatorCarper,300019,a
Casey,Robert,sen,PA,Democrat,SenBobCasey,412246,f
Corker,Bob,sen,TN,Republican,SenBobCorker,412248,a
Feinstein,Dianne,sen,CA,Democrat,SenFeinstein,300043,a
Hatch,Orrin,sen,UT,Republican,SenOrrinHatch,300052,a
Klobuchar,Amy,sen,MN,Democrat,,412242,f
McCaskill,Claire,sen,MO,Democrat,McCaskillOffice,412243,f
Menéndez,Robert,sen,NJ,Democrat,SenatorMenendez,400272,f
Nelson,Bill,sen,FL,Democrat,SenBillNelson,300078,f
Sanders,Bernard,sen,VT,Independent,SenSanders,400357,f
Stabenow,Debbie,sen,MI,Democrat,SenStabenow,300093,a
Tester,Jon,sen,MT,Democrat,SenatorTester,412244,a
Whitehouse,Sheldon,sen,RI,Democrat,SenWhitehouse,412247,f
Barrasso,John,sen,WY,Republican,SenJohnBarrasso,412251,a
Wicker,Roger,sen,MS,Republican,SenatorWicker,400432,f
Alexander,Lamar,sen,TN,Republican,SenAlexander,300002,a
Cochran,Thad,sen,MS,Republican,SenThadCochran,300023,f
Collins,Susan,sen,ME,Republican,SenatorCollins,300025,f
Cornyn,John,sen,TX,Republican,JohnCornyn,300027,f
Durbin,Richard,sen,IL,Democrat,SenatorDurbin,300038,f
Enzi,Michael,sen,WY,Republican,SenatorEnzi,300041,f
Graham,Lindsey,sen,SC,Republican,GrahamBlog,300047,f
Inhofe,James,sen,OK,Republican,InhofePress,300055,f
McConnell,Mitch,sen,KY,Republican,McConnellPress,300072,f
Merkley,Jeff,sen,OR,Democrat,SenJeffMerkley,412325,f
Reed,John,sen,RI,Democrat,SenJackReed,300081,a
Risch,James,sen,ID,Republican,SenatorRisch,412322,a
Roberts,Pat,sen,KS,Republican,SenPatRoberts,300083,a
Sessions,Jefferson,sen,AL,Republican,SenatorSessions,300088,a
Shaheen,Jeanne,sen,NH,Democrat,SenatorShaheen,412323,a
Udall,Tom,sen,NM,Democrat,SenatorTomUdall,400413,a
Warner,Mark,sen,VA,Democrat,MarkWarner,412321,f
Gillibrand,Kirsten,sen,NY,Democrat,,412223,f
Franken,Alan,sen,MN,Democrat,,412378,f
Coons,Chris,sen,DE,Democrat,SenCoonsOffice,412390,f
Manchin,Joe,sen,WV,Democrat,Sen_JoeManchin,412391,f
Aderholt,Robert,rep,AL,Republican,Robert_Aderholt,400004,f
Amash,Justin,rep,MI,Republican,,412438,a
Ayotte,Kelly,sen,NH,Republican,,412493,a
Baldwin,Tammy,sen,WI,Democrat,SenatorBaldwin,400013,a
Barletta,Lou,rep,PA,Republican,RepLouBarletta,412469,a
Barton,Joe,rep,TX,Republican,RepJoeBarton,400018,a
Bass,Karen,rep,CA,Democrat,RepKarenBass,412404,a
Becerra,Xavier,rep,CA,Democrat,RepBecerra,400021,f
Benishek,Dan,rep,MI,Republican,CongressmanDan,412436,a
Bennet,Michael,sen,CO,Democrat,SenBennetCo,412330,f
Bilirakis,Gus,rep,FL,Republican,RepGusBilirakis,412250,a
Bishop,Rob,rep,UT,Republican,RepRobBishop,400029,f
Bishop,Sanford,rep,GA,Democrat,SanfordBishop,400030,a
Black,Diane,rep,TN,Republican,RepDianeBlack,412478,a
Blackburn,Marsha,rep,TN,Republican,MarshaBlackburn,400032,a
Blumenauer,Earl,rep,OR,Democrat,BlumenauerMedia,400033,f
Blumenthal,Richard,sen,CT,Democrat,SenBlumenthal,412490,f
Blunt,Roy,sen,MO,Republican,RoyBlunt,400034,f
Boehner,John,rep,OH,Republican,SpeakerBoehner,400036,f
Boozman,John,sen,AR,Republican,JohnBoozman,400040,f
Bordallo,Madeleine,rep,GU,Democrat,,400041,a
