Text,country_code ,followers_count,friends_count,link ,type,coordinates,City,State,posted_time,epoch_time,real_name ,statuses_count ,tweet_url ,
"@tim_cato Man, don't show him my work. Reg season WAR/48 since '80, Dirk 15th overall, Kobe 17th. http://t.co/Hu7R6dQdbe @mcuban #analytics ",United States,677,669,http://twitter.com/Hoops_Nerd/statuses/544646032659726336,Polygon,"-97.186747, 32.530958; -97.186747, 32.616182; -97.046821, 32.616182; -97.046821, 32.530958",Mansfield,TX,12/16/2014 0:11,1418688660,Dan Dickey,2877,http://hoopsnerd.com/?page_id=460,
@CubanoLibre51 @rodrzaguilo13 y que en Venezuela tienen un maduro y en pr un tostón ,United States,522,1220,http://twitter.com/perezmannya/statuses/544647248286457856,Polygon,"-81.442112, 28.450553; -81.442112, 28.487021; -81.396669, 28.487021; -81.396669, 28.450553",Oak Ridge,FL,12/16/2014 0:16,1418688960,Manuel Perez,3161,,
"@Draft2Dynasty @sswitch915 Cuba, international as a whole. ",United States,512,1997,http://twitter.com/LittleRegion/statuses/544648089026699264,Polygon,"-79.76259, 40.477383; -79.76259, 45.015851; -71.777492, 45.015851; -71.777492, 40.477383",New York,US,12/16/2014 0:19,1418689140,LL Cool Bae,25053,,
The Cuban Swissle Crisis #CheesyWorldHistory ,United States,79,426,http://twitter.com/destinnoak/statuses/544649552112807936,Polygon,"-95.438435, 29.497739; -95.438435, 29.59803; -95.215364, 29.59803; -95.215364, 29.497739",Pearland,TX,12/16/2014 0:25,1418689500,Destin Noak,348,,
Fake #Colombia terror grp. #FARC talks part of Cuban regime efforts for removal from @StateDeptCT state sponsor of terror list @YleemPoblete ,United States,945,989,http://twitter.com/JasonPoblete/statuses/544651132564688896,Polygon,"-77.172219, 38.827378; -77.172219, 38.934311; -77.031779, 38.934311; -77.031779, 38.827378",Arlington,VA,12/16/2014 0:32,1418689920,jasonpoblete,9560,,
"@Cubano221 I legit did this dance, ""releasing the demons"" style ",United States,66,105,http://twitter.com/theadamguy/statuses/544651710845550592,Polygon,"-105.109815, 39.614151; -105.109815, 39.812975; -104.734372, 39.812975; -104.734372, 39.614151",Denver,CO,12/16/2014 0:34,1418690040,Adam Phillips,1130,,
http://t.co/XyN2IobMbA ,United States,120,121,http://twitter.com/arriaga_ed/statuses/544653049063821312,Polygon,"-66.125093, 18.29645; -66.125093, 18.471881; -65.991643, 18.471881; -65.991643, 18.29645",San Juan,Puerto Rico,12/16/2014 0:39,1418690340,Ed.  Arriaga,524,http://blogwikicuba.blogspot.com/2014/10/version-cubana-de-la-cancion-happy.html,
"... a Cuban/Irish chef raised in Puerto Rico, their monfongo is amazing! #rocktheworld!... https://t.co/PbTR2X2Eib http://t.co/sMOSXmO5cx ",United States,117612,118100,http://twitter.com/loriruff/statuses/544653842663874560,Polygon,"-80.321683, 25.7090404; -80.321683, 25.855667; -80.144974, 25.855667; -80.144974, 25.7090404",Miami,FL,12/16/2014 0:42,1418690520,Lori Ruff,32552,http://twitter.com/loriruff/status/544653842663874560/photo/1; https://www.swarmapp.com/c/gCkotJmJNQv,
"El #atleta cubano necesita ser #elite para poder vivir en su sociedad, en PR un atleta no tiene ésa misma necesidad @LaGarataMega @Xiomara9 ",United States,173,525,http://twitter.com/Oma_HJ/statuses/544654620178796544,Polygon,"-67.998752, 17.83151; -67.998752, 18.568; -65.168504, 18.568; -65.168504, 17.83151",Puerto Rico,US,12/16/2014 0:45,1418690700,Coach Camacho,4902,,
"Nice try, Kmart. I've never been preggo but I don't think dancing in a tank top is high on the priority list when you're incubating a human ",United States,547,589,http://twitter.com/PandaVike22/statuses/544655361710784512,Polygon,"-93.3298112, 44.716911; -93.3298112, 44.828464; -93.222028, 44.828464; -93.222028, 44.716911",Burnsville,MN,12/16/2014 0:48,1418690880,Erin,13538,,
@cubanpizza lmao I start work at 5:30 so I don't think I have time ???? ,United States,406,266,http://twitter.com/alexanduruh/statuses/544657121569030145,Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792",Sacramento,CA,12/16/2014 0:55,1418691300,? alexandra scott ?,11452,,
I hope @CubanCigarr enjoys my Christmas gift to him! ,United States,4983,4630,http://twitter.com/ESSENCE_OF_SEAN/statuses/544657681806794753,Polygon,"-97.034184, 32.771786; -97.034184, 32.956048; -96.888782, 32.956048; -96.888782, 32.771786",Irving,TX,12/16/2014 0:58,1418691480,ICONIC SHOW: JAN 4TH,258184,,
Pregame Grub! #cafecito #Cubano #palomilla #exoticasalad #myfab5 #chicagofoodlord #Chicago @ Cafecito http://t.co/0bTstBX5F2 ,United States,172,257,http://twitter.com/nazyjoon25/statuses/544659854087188480,Polygon,"-87.940033, 41.644102; -87.940033, 42.0230669; -87.523993, 42.0230669; -87.523993, 41.644102",Chicago,IL,12/16/2014 1:06,1418691960,~Nazy~,3804,http://instagram.com/p/wpgfYWrFk2/,
@iswanTheHill Cruz is a testament to what a Cuban-Canadian anchor baby can do in the United States given enough hateful rhetoric and money. ,United States,15,51,http://twitter.com/MikeyMooseNC/statuses/544660679312289792,Polygon,"-80.073291, 35.911849; -80.073291, 36.07826; -79.9174263, 36.07826; -79.9174263, 35.911849",High Point,NC,12/16/2014 1:09,1418692140,Michael Morton,834,,
