type,coordinates,location_displayname,City,State,posted_time ,epoch_time
Polygon,"-81.628444, 40.995137; -81.628444, 41.166618; -81.405059, 41.166618; -81.405059, 40.995137","Akron, OH",Akron, OH,12/17/14 2:34 PM,1418826853
Polygon,"-106.7916912, 35.0158912; -106.7916912, 35.218114; -106.473745, 35.218114; -106.473745, 35.0158912","Albuquerque, NM",Albuquerque, NM,12/17/14 2:16 PM,1418825798
Polygon,"-106.7916912, 35.0158912; -106.7916912, 35.218114; -106.473745, 35.218114; -106.473745, 35.0158912","Albuquerque, NM",Albuquerque, NM,12/17/14 2:58 PM,1418828285
Polygon,"-77.144435, 38.789907; -77.144435, 38.8448531; -77.037304, 38.8448531; -77.037304, 38.789907","Alexandria, VA",Alexandria, VA,12/17/14 12:09 AM,1418774955
Polygon,"-93.718311, 41.986006; -93.718311, 42.079007; -93.560416, 42.079007; -93.560416, 41.986006","Ames, IA",Ames, IA,12/17/14 2:18 PM,1418825933
Polygon,"-78.832497, 42.948903; -78.832497, 43.06933; -78.696766, 43.06933; -78.696766, 42.948903","Amherst, NY",Amherst, NY,12/17/14 3:05 PM,1418828707
Polygon,"-118.017789, 33.788913; -118.017789, 33.896813; -117.684389, 33.896813; -117.684389, 33.788913","Anaheim, CA",Anaheim, CA,12/16/14 9:55 PM,1418766916
Polygon,"-118.017789, 33.788913; -118.017789, 33.896813; -117.684389, 33.896813; -117.684389, 33.788913","Anaheim, CA",Anaheim, CA,12/16/14 9:58 PM,1418767089
Polygon,"-118.017789, 33.788913; -118.017789, 33.896813; -117.684389, 33.896813; -117.684389, 33.788913","Anaheim, CA",Anaheim, CA,12/16/14 10:03 PM,1418767424
Polygon,"-102.5732517, 32.296046; -102.5732517, 32.354076; -102.501004, 32.354076; -102.501004, 32.296046","Andrews, TX",Andrews, TX,12/17/14 4:56 AM,1418792188
Polygon,"-76.5533209, 38.941032; -76.5533209, 38.9989; -76.468263, 38.9989; -76.468263, 38.941032","Annapolis, MD",Annapolis, MD,12/17/14 2:21 PM,1418826110
Polygon,"-77.172219, 38.827378; -77.172219, 38.934311; -77.031779, 38.934311; -77.031779, 38.827378","Arlington, VA",Arlington, VA,12/16/14 12:32 AM,1418689923
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 1:59 AM,1418695177
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 2:02 AM,1418695365
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 2:03 AM,1418695392
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 2:06 AM,1418695605
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 2:08 AM,1418695693
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 2:09 AM,1418695771
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 2:10 AM,1418695803
Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/14 2:11 AM,1418695865
Polygon,"-77.172219, 38.827378; -77.172219, 38.934311; -77.031779, 38.934311; -77.031779, 38.827378","Arlington, VA",Arlington, VA,12/16/14 6:09 PM,1418753385
Polygon,"-77.172219, 38.827378; -77.172219, 38.934311; -77.031779, 38.934311; -77.031779, 38.827378","Arlington, VA",Arlington, VA,12/17/14 2:07 PM,1418825225
Polygon,"-84.576827, 33.647549; -84.576827, 33.8868859; -84.289385, 33.8868859; -84.289385, 33.647549","Atlanta, GA",Atlanta, GA,12/17/14 2:34 PM,1418826861
Polygon,"-74.467407, 39.342291; -74.467407, 39.386729; -74.40702, 39.386729; -74.40702, 39.342291","Atlantic City, NJ",Atlantic City, NJ,12/16/14 2:38 AM,1418697502
Polygon,"-85.569969, 32.532449; -85.569969, 32.6620408; -85.413112, 32.6620408; -85.413112, 32.532449","Auburn, AL",Auburn, AL,12/16/14 9:40 PM,1418766011
