Tweet,followers,type,coordinates,City,State,time,epoch_time(EST),Sentiment,Result
By beardpoppa14 repostwhiz The Great Wall of Cuba lol Best Cuban Sandwich in Jersey…,186,Polygon,"-74.327484, 40.633736; -74.327484, 40.67891; -74.28071, 40.67891; -74.28071, 40.633736",Cranford,NJ,12/17/2014 2:00,1418763609,0.49000001,p
mark cuban is beast on shark tank.,318,Polygon,"-102.5732517, 32.296046; -102.5732517, 32.354076; -102.501004, 32.354076; -102.501004, 32.296046",Andrews,TX,12/17/2014 4:56,1418774188,-0.583437562,n
"Graduates Update: Yuliesky &amp; Janet Cruz, have delayed their return to Cuba as they await the birth of a child,1/15/15",127,Polygon,"-84.32187, 33.752879; -84.32187, 36.588118; -75.40012, 36.588118; -75.40012, 33.752879",North Carolina,US,12/17/2014 4:59,1418774377,-1.013332009,n
I think I liked you better in Cuba ??,152,Polygon,"-78.762082, 42.146853; -78.762082, 42.174409; -78.6832, 42.174409; -78.6832, 42.146853",Salamanca,NY,12/17/2014 5:25,1418775947,0.44416669,p
U omitted the fact that Cuba has been severely affected by a corrupt US sanction which is 100% direct reason why.,2449,Polygon,"-120.912851, 37.459822; -120.912851, 37.53937; -120.812106, 37.53937; -120.812106, 37.459822",Turlock,CA,12/17/2014 5:44,1418777063,-0.799999952,n
5 Quotes From Billionaire Mark Cuban That Will Inspire You To Work Your Ass Off,188,Polygon,"-124.482003, 32.528832; -124.482003, 42.009519; -114.131212, 42.009519; -114.131212, 32.528832",California,US,12/17/2014 7:24,1418783076,0.300000012,p
POTUS initiates release of Allan Gross from a Cuban Prison. He will announce new relationship with CUBA later today. UniteBl,3775,Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178",Southfield,MI,12/17/2014 13:50,1418806203,-0.245000005,n
RT MORE: President Obama poised to announce major new steps to repair relationship with Cuba -,3290,Polygon,"-115.2092535, 35.984784; -115.2092535, 36.137145; -115.0610763, 36.137145; -115.0610763, 35.984784",Paradise,NV,12/17/2014 13:50,1418806257,0.295906335,p
Historic day in US/Cuban relations. EXCLUSIVE Alan Gross en route back to US on humanitarian release-Cuban 3 also release,1994,Polygon,"-80.321683, 25.7090404; -80.321683, 25.855667; -80.144974, 25.855667; -80.144974, 25.7090404",Miami,FL,12/17/2014 13:52,1418806329,0.465714246,p
MORE: President Obama poised to announce major new steps to repair relationship with Cuba -,2488,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 13:52,1418806371,0.295906335,p
"BREAKING: Cuba releases American Alan Gross after 5 years in prison, now in enroute to US -",2488,Polygon,"-74.026675, 40.683935; -74.026675, 40.877483; -73.910408, 40.877483; -73.910408, 40.683935",Manhattan,NY,12/17/2014 13:53,1418806389,-0.899999976,n
"CNN Breaking News: ""American contractor Alan Gross released in prisoner swap with Cuba; Obama to overhaul Cuba policy"".",85,Polygon,"-96.234587, 41.175884; -96.234587, 41.375558; -95.872275, 41.375558; -95.872275, 41.175884",Omaha,NE,12/17/2014 13:53,1418806403,-1.907999933,n
Amazing. AMAZING. RT American Alan Gross released in prisoner swap with Cuba; Obama to overhaul Cuba policy in landma,824,Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826",Washington,DC,12/17/2014 13:54,1418806474,-1.907999933,n
American Alan Gross released in prisoner swap with Cuba; Obama to overhaul Cuba policy.,250,Polygon,"-97.538285, 32.569477; -97.538285, 32.990456; -97.033542, 32.990456; -97.033542, 32.569477",Fort Worth,TX,12/17/2014 13:55,1418806526,-0.635999978,n
.reports that Alan Gross has been released from Cuba prison,915,Polygon,"-82.688331, 27.424889; -82.688331, 27.52306; -82.459019, 27.52306; -82.459019, 27.424889",Bradenton,FL,12/17/2014 13:55,1418806551,-0.980000019,n
"UniteBlue """"American Alan Gross released in prisoner swap with Cuba; Obama to overhaul Cuba policy."" via",1580,Polygon,"-84.5355341, 33.609487; -84.5355341, 33.7056846; -84.4150479, 33.7056846; -84.4150479, 33.609487",East Point,GA,12/17/2014 13:56,1418806575,-1.907999933,n
"“""American Alan Gross released in prisoner swap w/Cuba; Obama to overhaul Cuba policy."" via To borrow fm",15215,Polygon,"-77.675429, 38.763188; -77.675429, 38.821247; -77.579294, 38.821247; -77.579294, 38.763188",Gainesville,VA,12/17/2014 13:58,1418806703,-1.907999933,n
