last_name,first_name,party,birthday,gender,type,state,govtrack_id,position
Brown,Sherrod,Democrat,11/9/1952,M,sen,OH,400050,f
Cantwell,Maria,Democrat,10/13/1958,F,sen,WA,300018,f
Cardin,Benjamin,Democrat,10/5/1943,M,sen,MD,400064,f
Carper,Thomas,Democrat,1/23/1947,M,sen,DE,300019,f
Casey,Robert,Democrat,4/13/1960,M,sen,PA,412246,f
Feinstein,Dianne,Democrat,6/22/1933,F,sen,CA,300043,f
Klobuchar,Amy,Democrat,5/25/1960,F,sen,MN,412242,f
McCaskill,Claire,Democrat,7/24/1953,F,sen,MO,412243,f
MenÃ©ndez,Robert,Democrat,1/1/1954,M,sen,NJ,400272,a
Nelson,Bill,Democrat,9/29/1942,M,sen,FL,300078,f
Stabenow,Debbie,Democrat,4/29/1950,F,sen,MI,300093,f
Tester,Jon,Democrat,8/21/1956,M,sen,MT,412244,f
Whitehouse,Sheldon,Democrat,10/20/1955,M,sen,RI,412247,f
Durbin,Richard,Democrat,11/21/1944,M,sen,IL,300038,f
Merkley,Jeff,Democrat,10/24/1956,M,sen,OR,412325,f
Reed,John,Democrat,11/12/1949,M,sen,RI,300081,f
Shaheen,Jeanne,Democrat,1/28/1947,F,sen,NH,412323,f
Udall,Tom,Democrat,5/18/1948,M,sen,NM,400413,f
Warner,Mark,Democrat,12/15/1954,M,sen,VA,412321,f
Gillibrand,Kirsten,Democrat,12/9/1966,F,sen,NY,412223,f
Franken,Alan,Democrat,5/21/1951,M,sen,MN,412378,f
Coons,Chris,Democrat,9/9/1963,M,sen,DE,412390,f
Manchin,Joe,Democrat,8/24/1947,M,sen,WV,412391,f
Baldwin,Tammy,Democrat,2/11/1962,F,sen,WI,400013,f
Bass,Karen,Democrat,10/3/1953,F,rep,CA,412404,f
Becerra,Xavier,Democrat,1/26/1958,M,rep,CA,400021,f
Bennet,Michael,Democrat,11/28/1964,M,sen,CO,412330,f
Bishop,Sanford,Democrat,2/4/1947,M,rep,GA,400030,f
Blumenauer,Earl,Democrat,8/16/1948,M,rep,OR,400033,f
Blumenthal,Richard,Democrat,2/13/1946,M,sen,CT,412490,f
Bordallo,Madeleine,Democrat,5/31/1933,F,rep,GU,400041,f
Boxer,Barbara,Democrat,11/11/1940,F,sen,CA,300011,f
Brady,Robert,Democrat,4/7/1945,M,rep,PA,400047,f
Brown,Corrine,Democrat,11/11/1946,F,rep,FL,400048,f
Butterfield,George,Democrat,4/27/1947,M,rep,NC,400616,f
Capps,Lois,Democrat,1/10/1938,F,rep,CA,400062,f
Capuano,Michael,Democrat,1/9/1952,M,rep,MA,400063,f
Carney,John,Democrat,5/20/1956,M,rep,DE,412407,f
Carson,AndrÃ©,Democrat,10/16/1974,M,rep,IN,412258,f
Castor,Kathy,Democrat,8/20/1966,F,rep,FL,412195,f
Chu,Judy,Democrat,7/7/1953,F,rep,CA,412379,f
Cicilline,David,Democrat,7/15/1961,M,rep,RI,412470,f
Clarke,Yvette,Democrat,11/21/1964,F,rep,NY,412221,f
Clay,Wm.,Democrat,7/27/1956,M,rep,MO,400074,f
Cleaver,Emanuel,Democrat,10/26/1944,M,rep,MO,400639,f
Clyburn,James,Democrat,7/21/1940,M,rep,SC,400075,f
Cohen,Steve,Democrat,5/24/1949,M,rep,TN,412236,f
Connolly,Gerald,Democrat,3/30/1950,M,rep,VA,412272,f
Conyers,John,Democrat,5/16/2029,M,rep,MI,400080,f
Cooper,Jim,Democrat,6/19/1954,M,rep,TN,400081,f
Costa,Jim,Democrat,4/13/1952,M,rep,CA,400618,f
Courtney,Joe,Democrat,4/6/1953,M,rep,CT,412193,f
Crowley,Joseph,Democrat,3/16/1962,M,rep,NY,400087,f
Cuellar,Henry,Democrat,9/19/1955,M,rep,TX,400657,f
Cummings,Elijah,Democrat,1/18/1951,M,rep,MD,400090,f
Davis,Danny,Democrat,9/6/1941,M,rep,IL,400093,f
Davis,Susan,Democrat,4/13/1944,F,rep,CA,400097,f
DeFazio,Peter,Democrat,5/27/1947,M,rep,OR,400100,f
DeGette,Diana,Democrat,7/29/1957,F,rep,CO,400101,f
DeLauro,Rosa,Democrat,3/2/1943,F,rep,CT,400103,f
Deutch,Theodore,Democrat,5/7/1966,M,rep,FL,412385,f
Doggett,Lloyd,Democrat,10/6/1946,M,rep,TX,400111,f
Donnelly,Joe,Democrat,9/28/1955,M,sen,IN,412205,f
Doyle,Michael,Democrat,8/5/1953,M,rep,PA,400114,f
Edwards,Donna,Democrat,6/28/1958,F,rep,MD,412263,f
Ellison,Keith,Democrat,8/4/1963,M,rep,MN,412215,f
Engel,Eliot,Democrat,2/18/1947,M,rep,NY,400122,f
Eshoo,Anna,Democrat,12/13/1942,F,rep,CA,400124,f
Farr,Sam,Democrat,7/4/1941,M,rep,CA,400129,f
Fattah,Chaka,Democrat,11/21/1956,M,rep,PA,400130,f
Fudge,Marcia,Democrat,10/29/1952,F,rep,OH,412327,f
Garamendi,John,Democrat,1/24/1945,M,rep,CA,412382,f
Green,Al,Democrat,9/1/1947,M,rep,TX,400653,f
Green,Gene,Democrat,10/17/1947,M,rep,TX,400160,f
Grijalva,RaÃºl,Democrat,2/19/1948,M,rep,AZ,400162,f
GutiÃ©rrez,Luis,Democrat,12/10/1953,M,rep,IL,400163,f
Hastings,Alcee,Democrat,9/5/1936,M,rep,FL,400170,f
Heinrich,Martin,Democrat,10/17/1971,M,sen,NM,412281,f
Higgins,Brian,Democrat,10/6/1959,M,rep,NY,400641,f
Himes,James,Democrat,7/5/1966,M,rep,CT,412282,f
Hinojosa,RubÃ©n,Democrat,8/20/1940,M,rep,TX,400179,f
Hirono,Mazie,Democrat,11/3/1947,F,sen,HI,412200,f
Honda,Michael,Democrat,6/27/1941,M,rep,CA,400185,f
Hoyer,Steny,Democrat,6/14/1939,M,rep,MD,400189,f
Israel,Steve,Democrat,5/30/1958,M,rep,NY,400195,f
Jackson Lee,Sheila,Democrat,1/12/1950,F,rep,TX,400199,f
Johnson,Eddie,Democrat,12/3/1935,F,rep,TX,400204,f
Johnson,Henry,Democrat,10/2/1954,M,rep,GA,412199,f
Kaptur,Marcy,Democrat,6/17/1946,F,rep,OH,400211,f
Keating,William,Democrat,9/6/1952,M,rep,MA,412435,f
Kind,Ron,Democrat,3/16/1963,M,rep,WI,400218,f
Langevin,James,Democrat,4/22/1964,M,rep,RI,400230,f
Larsen,Rick,Democrat,6/15/1965,M,rep,WA,400232,f
Larson,John,Democrat,7/22/1948,M,rep,CT,400233,f
Leahy,Patrick,Democrat,3/31/1940,M,sen,VT,300065,f
Lee,Barbara,Democrat,7/16/1946,F,rep,CA,400237,f
Levin,Sander,Democrat,9/6/1931,M,rep,MI,400238,f
Lewis,John,Democrat,2/21/1940,M,rep,GA,400240,f
Lipinski,Daniel,Democrat,7/15/1966,M,rep,IL,400630,f
Loebsack,David,Democrat,12/23/1952,M,rep,IA,412209,f
Lofgren,Zoe,Democrat,12/21/1947,F,rep,CA,400245,f
Lowey,Nita,Democrat,7/5/1937,F,rep,NY,400246,f
LujÃ¡n,Ben,Democrat,6/7/1972,M,rep,NM,412293,f
Lynch,Stephen,Democrat,3/31/1955,M,rep,MA,400249,f
Maloney,Carolyn,Democrat,2/19/1946,F,rep,NY,400251,f
Markey,Edward,Democrat,7/11/1946,M,sen,MA,400253,f
Matsui,Doris,Democrat,9/25/1944,F,rep,CA,400663,f
McCollum,Betty,Democrat,7/12/1954,F,rep,MN,400259,f
McDermott,Jim,Democrat,12/28/1936,M,rep,WA,400262,f
McGovern,James,Democrat,11/20/1959,M,rep,MA,400263,f
McNerney,Jerry,Democrat,6/18/1951,M,rep,CA,412189,f
Meeks,Gregory,Democrat,9/25/1953,M,rep,NY,400271,f
Mikulski,Barbara,Democrat,7/20/1936,F,sen,MD,300073,f
Moore,Gwen,Democrat,4/18/1951,F,rep,WI,400661,f
Murphy,Christopher,Democrat,8/3/1973,M,sen,CT,412194,f
Murray,Patty,Democrat,10/11/1950,F,sen,WA,300076,f
Nadler,Jerrold,Democrat,6/13/1947,M,rep,NY,400289,f
Napolitano,Grace,Democrat,12/4/1936,F,rep,CA,400290,f
Neal,Richard,Democrat,2/14/1949,M,rep,MA,400291,f
Norton,Eleanor,Democrat,6/13/1937,F,rep,DC,400295,f
Pallone,Frank,Democrat,10/30/1951,M,rep,NJ,400308,f
Pascrell,Bill,Democrat,1/25/1937,M,rep,NJ,400309,f
Pelosi,Nancy,Democrat,3/26/1940,F,rep,CA,400314,f
Perlmutter,Ed,Democrat,5/1/1953,M,rep,CO,412192,f
Peters,Gary,Democrat,12/1/1958,M,sen,MI,412305,f
Peterson,Collin,Democrat,6/29/1944,M,rep,MN,400316,f
Pierluisi,Pedro,Democrat,4/26/1959,M,rep,PR,412306,f
Pingree,Chellie,Democrat,4/2/1955,F,rep,ME,412307,f
Polis,Jared,Democrat,5/12/1975,M,rep,CO,412308,f
Price,David,Democrat,8/17/1940,M,rep,NC,400326,f
Quigley,Mike,Democrat,10/17/1958,M,rep,IL,412331,f
Rangel,Charles,Democrat,6/11/1930,M,rep,NY,400333,f
Reid,Harry,Democrat,12/2/1939,M,sen,NV,300082,f
Richmond,Cedric,Democrat,9/13/1973,M,rep,LA,412432,f
Roybal-Allard,Lucille,Democrat,6/12/1941,F,rep,CA,400347,f
Ruppersberger,C.,Democrat,1/31/1946,M,rep,MD,400349,f
Rush,Bobby,Democrat,11/23/1946,M,rep,IL,400350,f
Ryan,Tim,Democrat,7/16/1973,M,rep,OH,400352,f
Sanchez,Loretta,Democrat,1/7/1960,F,rep,CA,400356,f
Sarbanes,John,Democrat,5/22/1962,M,rep,MD,412212,f
Schakowsky,Janice,Democrat,5/26/1944,F,rep,IL,400360,f
Schiff,Adam,Democrat,6/22/1960,M,rep,CA,400361,f
Schrader,Kurt,Democrat,10/19/1951,M,rep,OR,412315,f
Schumer,Charles,Democrat,11/23/1950,M,sen,NY,300087,f
Scott,David,Democrat,6/27/1945,M,rep,GA,400363,f
Scott,Robert,Democrat,4/30/1947,M,rep,VA,400364,f
Serrano,JosÃ©,Democrat,10/24/1943,M,rep,NY,400366,f
Sewell,Terri,Democrat,1/1/1965,F,rep,AL,412396,f
Sherman,Brad,Democrat,10/24/1954,M,rep,CA,400371,f
Sires,Albio,Democrat,1/26/1951,M,rep,NJ,412186,f
Slaughter,Louise,Democrat,8/14/2029,F,rep,NY,400378,f
Smith,Adam,Democrat,6/15/1965,M,rep,WA,400379,f
Speier,Jackie,Democrat,5/14/1950,F,rep,CA,412259,f
SÃ¡nchez,Linda,Democrat,1/28/1969,F,rep,CA,400355,f
Thompson,Bennie,Democrat,1/28/1948,M,rep,MS,400402,f
Thompson,Mike,Democrat,1/24/1951,M,rep,CA,400403,f
Tonko,Paul,Democrat,6/18/1949,M,rep,NY,412319,f
Tsongas,Niki,Democrat,4/26/1946,F,rep,MA,412254,f
Van Hollen,Chris,Democrat,1/10/1959,M,rep,MD,400415,f
VelÃ¡zquez,Nydia,Democrat,3/28/1953,F,rep,NY,400416,f
Visclosky,Peter,Democrat,8/13/1949,M,rep,IN,400417,f
Walz,Timothy,Democrat,4/6/1964,M,rep,MN,412214,f
Wasserman Schultz,Debbie,Democrat,9/27/1966,F,rep,FL,400623,f
Waters,Maxine,Democrat,8/15/1938,F,rep,CA,400422,f
Welch,Peter,Democrat,5/2/1947,M,rep,VT,412239,f
Wilson,Frederica,Democrat,11/5/1942,F,rep,FL,412412,f
Wyden,Ron,Democrat,5/3/1949,M,sen,OR,300100,f
Yarmuth,John,Democrat,11/4/1947,M,rep,KY,412211,f
Hahn,Janice,Democrat,3/30/1952,F,rep,CA,412498,f
Bonamici,Suzanne,Democrat,10/14/1954,F,rep,OR,412501,f
DelBene,Suzan,Democrat,2/17/1962,F,rep,WA,412505,f
Payne,Donald,Democrat,12/17/1958,M,rep,NJ,412506,f
Schatz,Brian,Democrat,10/20/1972,M,sen,HI,412507,f
Foster,Bill,Democrat,10/7/1955,M,rep,IL,412257,f
Grayson,Alan,Democrat,3/13/1958,M,rep,FL,412276,f
Kirkpatrick,Ann,Democrat,3/24/1950,F,rep,AZ,412286,f
Titus,Dina,Democrat,5/23/1950,F,rep,NV,412318,f
Sinema,Kyrsten,Democrat,7/12/1976,F,rep,AZ,412509,f
Huffman,Jared,Democrat,2/18/1964,M,rep,CA,412511,f
Bera,Ami,Democrat,3/2/1965,M,rep,CA,412512,f
Swalwell,Eric,Democrat,11/16/1980,M,rep,CA,412514,f
Brownley,Julia,Democrat,8/28/1952,F,rep,CA,412516,f
CÃ¡rdenas,Tony,Democrat,3/31/1963,M,rep,CA,412517,f
Ruiz,Raul,Democrat,8/25/1972,M,rep,CA,412519,f
Takano,Mark,Democrat,12/10/1960,M,rep,CA,412520,f
Lowenthal,Alan,Democrat,3/8/1941,M,rep,CA,412521,f
Vargas,Juan,Democrat,3/7/1961,M,rep,CA,412522,f
Peters,Scott,Democrat,6/17/1958,M,rep,CA,412523,f
Esty,Elizabeth,Democrat,8/25/1959,F,rep,CT,412524,f
Murphy,Patrick,Democrat,3/30/1983,M,rep,FL,412527,f
Frankel,Lois,Democrat,5/16/1948,F,rep,FL,412529,f
Gabbard,Tulsi,Democrat,4/12/1981,F,rep,HI,412532,f
Duckworth,Tammy,Democrat,3/12/1968,F,rep,IL,412533,f
Bustos,Cheri,Democrat,10/17/1961,F,rep,IL,412537,f
Warren,Elizabeth,Democrat,6/22/1949,F,sen,MA,412542,f
Kennedy,Joseph,Democrat,10/4/1980,M,rep,MA,412543,f
Delaney,John,Democrat,4/16/1963,M,rep,MD,412544,f
Kildee,Daniel,Democrat,8/11/1958,M,rep,MI,412546,f
Nolan,Richard,Democrat,12/17/1943,M,rep,MN,408211,f
Heitkamp,Heidi,Democrat,10/30/1955,F,sen,ND,412554,f
Kuster,Ann,Democrat,9/5/1956,F,rep,NH,412557,f
Lujan Grisham,Michelle,Democrat,10/24/1959,F,rep,NM,412558,f
Meng,Grace,Democrat,10/1/1975,F,rep,NY,412560,f
Jeffries,Hakeem,Democrat,8/4/1970,M,rep,NY,412561,f
Maloney,Sean,Democrat,7/30/1966,M,rep,NY,412562,f
Beatty,Joyce,Democrat,3/12/1950,F,rep,OH,412565,f
