State,County,Obama,Romney,obama_rate,romney_rate
AK,Alaska,91696,121234,43.1,56.9
AL,Alabama,793620,1252453,38.8,61.2
AL,Autauga,6354,17366,26.8,73.2
AL,Baldwin,18329,65772,21.8,78.2
AL,Barbour,5873,5539,51.5,48.5
AL,Bibb,2200,6131,26.4,73.6
AL,Blount,2961,20741,12.5,87.5
AL,Bullock,4058,1250,76.5,23.5
AL,Butler,4367,5081,46.2,53.8
AL,Calhoun,15500,30272,33.9,66.1
AL,Chambers,6853,7596,47.4,52.6
AL,Cherokee,2126,7494,22.1,77.9
AL,Chilton,3391,13910,19.6,80.4
AL,Choctaw,3785,4150,47.7,52.3
AL,Clarke,6317,7463,45.8,54.2
AL,Clay,1770,4802,26.9,73.1
AL,Cleburne,971,5269,15.6,84.4
AL,Coffee,4899,14638,25.1,74.9
AL,Colbert,9160,13931,39.7,60.3
AL,Conecuh,3551,3434,50.8,49.2
AL,Coosa,2188,3028,41.9,58.1
AL,Covington,3155,12148,20.6,79.4
AL,Crenshaw,2048,4326,32.1,67.9
AL,Cullman,4855,27930,14.8,85.2
AL,Dale,5283,13105,28.7,71.3
AL,Dallas,14599,6284,69.9,30.1
AL,DeKalb,5235,18316,22.2,77.8
AL,Elmore,8940,26223,25.4,74.6
AL,Escambia,5476,9263,37.2,62.8
AL,Etowah,12792,29102,30.5,69.5
AL,Fayette,1803,6034,23.0,77.0
AL,Franklin,3171,7567,29.5,70.5
AL,Geneva,2039,9173,18.2,81.8
AL,Greene,4514,799,85.0,15.0
AL,Hale,5401,3205,62.8,37.2
AL,Henry,3046,5605,35.2,64.8
AL,Houston,12348,29214,29.7,70.3
AL,Jackson,5817,14422,28.7,71.3
AL,Jefferson,159658,141413,53.0,47.0
AL,Lamar,1643,5453,23.2,76.8
AL,Lauderdale,12504,23902,34.3,65.7
AL,Lawrence,5055,8855,36.3,63.7
AL,Lee,21274,32062,39.9,60.1
AL,Limestone,9809,25263,28.0,72.0
AL,Lowndes,5747,1754,76.6,23.4
AL,Macon,9045,1322,87.2,12.8
AL,Madison,61802,90679,40.5,59.5
AL,Marengo,6154,5321,53.6,46.4
AL,Marion,2249,9696,18.8,81.2
AL,Marshall,6271,25785,19.6,80.4
AL,Mobile,78417,94566,45.3,54.7
AL,Monroe,4897,5730,46.1,53.9
AL,Montgomery,62993,38283,62.2,37.8
AL,Morgan,13401,35309,27.5,72.5
AL,Perry,4536,1504,75.1,24.9
AL,Pickens,4448,5119,46.5,53.5
AL,Pike,6009,7939,43.1,56.9
AL,Randolph,3076,7219,29.9,70.1
AL,Russell,10495,8276,55.9,44.1
AL,St. Clair,5790,29001,16.6,83.4
AL,Shelby,19944,71243,21.9,78.1
AL,Sumter,5420,1585,77.4,22.6
AL,Talladega,13878,19217,41.9,58.1
AL,Tallapoosa,6252,12303,33.7,66.3
AL,Tuscaloosa,32003,45703,41.2,58.8
AL,Walker,6551,21633,23.2,76.8
AL,Washington,2971,5749,34.1,65.9
AL,Wilcox,4867,1676,74.4,25.6
AL,Winston,1286,8310,13.4,86.6
AR,Arkansas,391953,643717,37.8,62.2
AR,Arkansas,2454,3892,38.7,61.3
AR,Ashley,2855,4866,37.0,63.0
AR,Baxter,5172,13688,27.4,72.6
AR,Benton,22144,53477,29.3,70.7
AR,Boone,3762,11143,25.2,74.8
AR,Bradley,1447,2118,40.6,59.4
AR,Calhoun,660,1458,31.2,68.8
AR,Carroll,3691,6121,37.6,62.4
AR,Chicot,2649,1670,61.3,38.7
AR,Clark,3808,4343,46.7,53.3
AR,Clay,1738,3225,35.0,65.0
AR,Cleburne,2618,8691,23.1,76.9
AR,Cleveland,845,2313,26.8,73.2
AR,Columbia,3557,5790,38.1,61.9
AR,Conway,3003,4511,40.0,60.0
AR,Craighead,10351,20044,34.1,65.9
AR,Crawford,4872,15125,24.4,75.6
AR,Crittenden,9092,6192,59.5,40.5
AR,Cross,2279,4268,34.8,65.2
AR,Dallas,1337,1664,44.6,55.4
AR,Desha,2353,1807,56.6,43.4
AR,Drew,2627,3883,40.4,59.6
AR,Faulkner,13559,26653,33.7,66.3
AR,Franklin,1725,4631,27.1,72.9
AR,Fulton,1452,2949,33.0,67.0
AR,Garland,13317,25031,34.7,65.3
AR,Grant,1467,4829,23.3,76.7
AR,Greene,3998,9066,30.6,69.4
AR,Hempstead,2466,4284,36.5,63.5
AR,Hot Spring,3824,7087,35.0,65.0
AR,Howard,1460,2862,33.8,66.2
AR,Independence,3279,8724,27.3,72.7
AR,Izard,1563,3571,30.4,69.6
AR,Jackson,2093,3065,40.6,59.4
AR,Jefferson,17456,9515,64.7,35.3
AR,Johnson,2785,5045,35.6,64.4
AR,Lafayette,1173,1712,40.7,59.3
AR,Lawrence,1786,3535,33.6,66.4
