country_code,location_coord_type,location_coords,location_displayname,City,State,posted_time ,epoch_time
United States,Polygon,"-81.628444, 40.995137; -81.628444, 41.166618; -81.405059, 41.166618; -81.405059, 40.995137","Akron, OH",Akron, OH,12/17/2014 14:34,1418826853
United States,Polygon,"-81.2445014, 28.489488; -81.2445014, 28.568794; -81.1256316, 28.568794; -81.1256316, 28.489488","Alafaya, FL",Alafaya, FL,12/17/2014 14:15,1418825701
United States,Polygon,"-81.2445014, 28.489488; -81.2445014, 28.568794; -81.1256316, 28.568794; -81.1256316, 28.489488","Alafaya, FL",Alafaya, FL,12/17/2014 14:16,1418825791
United States,Polygon,"-81.2445014, 28.489488; -81.2445014, 28.568794; -81.1256316, 28.568794; -81.1256316, 28.489488","Alafaya, FL",Alafaya, FL,12/17/2014 14:59,1418828374
United States,Polygon,"-81.2445014, 28.489488; -81.2445014, 28.568794; -81.1256316, 28.568794; -81.1256316, 28.489488","Alafaya, FL",Alafaya, FL,12/17/2014 15:09,1418828951
United States,Polygon,"-81.2445014, 28.489488; -81.2445014, 28.568794; -81.1256316, 28.568794; -81.1256316, 28.489488","Alafaya, FL",Alafaya, FL,12/17/2014 15:10,1418829004
United States,Polygon,"-106.7916912, 35.0158912; -106.7916912, 35.218114; -106.473745, 35.218114; -106.473745, 35.0158912","Albuquerque, NM",Albuquerque, NM,12/17/2014 14:16,1418825798
United States,Polygon,"-106.7916912, 35.0158912; -106.7916912, 35.218114; -106.473745, 35.218114; -106.473745, 35.0158912","Albuquerque, NM",Albuquerque, NM,12/17/2014 14:58,1418828285
United States,Polygon,"-77.144435, 38.789907; -77.144435, 38.8448531; -77.037304, 38.8448531; -77.037304, 38.789907","Alexandria, VA",Alexandria, VA,12/17/2014 0:09,1418774955
United States,Polygon,"-93.718311, 41.986006; -93.718311, 42.079007; -93.560416, 42.079007; -93.560416, 41.986006","Ames, IA",Ames, IA,12/17/2014 14:18,1418825933
United States,Polygon,"-78.832497, 42.948903; -78.832497, 43.06933; -78.696766, 43.06933; -78.696766, 42.948903","Amherst, NY",Amherst, NY,12/17/2014 15:05,1418828707
United States,Polygon,"-118.017789, 33.788913; -118.017789, 33.896813; -117.684389, 33.896813; -117.684389, 33.788913","Anaheim, CA",Anaheim, CA,12/16/2014 21:55,1418766916
United States,Polygon,"-118.017789, 33.788913; -118.017789, 33.896813; -117.684389, 33.896813; -117.684389, 33.788913","Anaheim, CA",Anaheim, CA,12/16/2014 21:58,1418767089
United States,Polygon,"-118.017789, 33.788913; -118.017789, 33.896813; -117.684389, 33.896813; -117.684389, 33.788913","Anaheim, CA",Anaheim, CA,12/16/2014 22:03,1418767424
United States,Polygon,"-102.5732517, 32.296046; -102.5732517, 32.354076; -102.501004, 32.354076; -102.501004, 32.296046","Andrews, TX",Andrews, TX,12/17/2014 4:56,1418792188
United States,Polygon,"-76.5533209, 38.941032; -76.5533209, 38.9989; -76.468263, 38.9989; -76.468263, 38.941032","Annapolis, MD",Annapolis, MD,12/17/2014 14:21,1418826110
United States,Polygon,"-77.172219, 38.827378; -77.172219, 38.934311; -77.031779, 38.934311; -77.031779, 38.827378","Arlington, VA",Arlington, VA,12/16/2014 0:32,1418689923
United States,Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/2014 1:59,1418695177
United States,Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/2014 2:02,1418695365
United States,Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/2014 2:03,1418695392
United States,Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/2014 2:06,1418695605
United States,Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/2014 2:08,1418695693
United States,Polygon,"-97.233811, 32.586565; -97.233811, 32.817135; -97.037464, 32.817135; -97.037464, 32.586565","Arlington, TX",Arlington, TX,12/16/2014 2:09,1418695771
