State,Obama,Romney,obama_rate,romney_rate
AK,91696,121234,43.1,56.9
AL,1587240,2504906,38.8,61.2
AR,783906,1287434,37.8,62.2
AZ,1800162,2214260,44.8,55.2
CA,12483296,8093048,60.7,39.3
CO,11614,2476980,0.5,99.5
CT,1262864,1825062,40.9,59.1
DC,444664,34674,92.8,7.2
DE,485094,330952,59.4,40.6
FL,8324162,8470540,49.6,50.4
GA,4140442,3523522,54.0,46.0
HI,606180,238988,71.7,28.3
IA,1632858,1455856,52.9,47.1
ID,425120,841500,33.6,66.4
IL,5851637,4184642,58.3,41.7
IN,2280850,2825240,44.7,55.3
KS,855836,1357438,38.7,61.3
KY,1358680,2174254,38.5,61.5
LA,1616992,2304920,41.2,58.8
MA,3802552,2356490,61.7,38.3
MD,3055372,1809940,62.8,37.2
ME,795508,580874,57.8,42.2
MI,5123822,4225346,54.8,45.2
MN,3095336,2643150,53.9,46.1
MO,2430062,2957922,45.1,54.9
MS,1056520,1348604,43.9,56.1
MT,400978,529948,43.1,56.9
NC,4356776,4551706,48.9,51.1
ND,248980,375172,39.9,60.1
NE,578308,925944,38.4,61.6
NH,737058,655740,52.9,47.1
NJ,3921488,2766466,58.6,41.4
NM,816624,663830,55.2,44.8
NV,1057602,924844,53.3,46.7
NY,7751652,4453274,63.5,36.5
OH,5394520,5187558,51.0,49.0
OK,885294,1778744,33.2,66.8
OR,1864918,1464576,56.0,44.0
PA,5814896,5239166,52.6,47.4
RI,548684,310710,63.8,36.2
SC,2099014,32120,98.5,1.5
SD,289976,421082,40.8,59.2
TN,1906086,2906194,39.6,60.4
TX,6588880,9111598,42.0,58.0
UT,251813,740600,25.4,74.6
VA,3811056,3579236,51.6,48.4
VT,398518,185400,68.2,31.8
WA,3176618,2367228,57.3,42.7
WI,3227900,2817492,53.4,46.6
WV,469850,824812,36.3,63.7
WY,340530,137560,71.2,28.8
