"lat","lng","nfollow","is_rt","nsec"
47.2528768,-122.4442906,1499,1,0
44.410384,8.938974,758,1,0
33.645492,-78.984237,180,1,0
35.4675602,-97.5164276,16,1,0
39.759997789,-98.499998911,869,1,0
10.495368,-66.848877,2656,1,0
50.734484,7.099927,6470,0,0
40.896461,29.371326,726,0,0
11.929877931,-85.956016788,6225,0,0
-23.0204559,-45.5563555,476,1,0
-33.0164165,-71.5127137,824,1,0
10.423604,-75.524172,682,0,0
47.68965,-122.666124,465,1,0
10.495368,-66.848877,444,1,0
-34.613149508,-58.377226623,348,1,0
40.714545,-74.007112,124782,0,1000
10.488007909,-66.879186007,429,1,1000
-34.6037232,-58.3815931,2236,1,1000
41.535816,2.048268,107,1,1000
19.141481,-103.913858,93,0,1000
19.849998458,-90.533325516,51,0,1000
39.952337717,-75.163787683,2501,1,1000
52.517037,13.38886,2499,0,1000
26.714439,-80.054947,2039,0,1000
21.5466983095,-79.5412491525,507,0,1000
2.928631,-75.288801,261,1,1000
20.572238354,-101.191187547,1140,1,1000
34.053717,-118.2427266,269,1,1000
19.431949,-99.133125,642,1,1000
19.141481,-103.913858,93,0,1000
9.746094,-63.166027,652,0,1000
40.603006965,22.95467903,15379,1,1000
-37.814255,144.963146,22,1,1000
33.020786,-96.699248,71,0,2000
-23.5505199,-46.6333094,100,1,2000
19.049996465,-98.199997038,2603,0,2000
40.713054,-74.007228,122125,1,2000
14.818892,-86.600739,807,1,2000
19.2464696,-99.1013498,708,0,2000
-27.684246,-48.557675,2113,0,2000
43.685518,-71.577591,273,1,2000
-32.562722,-57.379891,327,1,2000
-41.1671,-71.334956,315,0,2000
20.936054,-86.871786,288,0,2000
15.0086,100.955704,9924,1,2000
56.130366,-106.346771,14,0,2000
-8.783195,34.508523,128,1,2000
40.0583238,-74.4056612,696,0,2000
-34.608983,-58.373135,168,1,2000
-22.902956,-43.20965,73,1,2000
-53.162624,-70.908369,58,1,3000
40.0757384,-74.4041622,24,1,3000
7.999998739,-65.999995542,179032,0,3000
