last_name,first_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Brown,Sherrod,11/9/1952,M,sen,OH,,Democrat,http://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,,,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136,N00003535,S307,5051,400050,27018,Sherrod Brown,gIQA3O2w9O,29389,Sherrod Brown
Cantwell,Maria,10/13/1958,F,sen,WA,,Democrat,http://www.cantwell.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,CantwellPress,,,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172,N00007836,S275,26137,300018,27122,Maria Cantwell,gIQAZxKkDP,39310,Maria Cantwell
Cardin,Benjamin,10/5/1943,M,sen,MD,,Democrat,http://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,1.20E+14,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174,N00001955,S308,4004,400064,26888,Ben Cardin,gIQAGMu99O,15408,Ben Cardin
Carper,Thomas,1/23/1947,M,sen,DE,,Democrat,http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,1.25E+14,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179,N00012508,S277,663,300019,22421,Tom Carper,gIQA3bm69O,15015,Tom Carper
Casey,Robert,4/13/1960,M,sen,PA,,Democrat,http://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,http://www.casey.senate.gov/contact/,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,1.08E+14,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828,N00027503,S309,47036,412246,2541,"Bob Casey, Jr.",gIQABeor9O,40703,"Bob Casey, Jr."
Corker,Bob,8/24/1952,M,sen,TN,,Republican,http://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,http://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/public/index.cfm/rss/feed,SenBobCorker,bobcorker,1.09E+14,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,1825,N00027441,S310,1021114,412248,65905,Bob Corker,gIQADOuy9O,40705,Bob Corker
Feinstein,Dianne,6/22/1933,F,sen,CA,,Democrat,http://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,3.35E+14,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332,N00007364,S221,13061,300043,53273,Dianne Feinstein,gIQAnrCyDP,49300,Dianne Feinstein
Hatch,Orrin,3/22/1934,M,sen,UT,,Republican,http://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/public/index.cfm/rss/feed,SenOrrinHatch,,,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,1351,N00009869,S118,189,300052,53352,Orrin Hatch,gIQAzJiz9O,14503,Orrin Hatch
Klobuchar,Amy,5/25/1960,F,sen,MN,,Democrat,http://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/email-amy,,,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826,N00027500,S311,83701,412242,65092,Amy Klobuchar,gIQA5G259O,40700,Amy Klobuchar
McCaskill,Claire,7/24/1953,F,sen,MO,,Democrat,http://www.mccaskill.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-6154,http://www.mccaskill.senate.gov/?p=contact,http://mccaskill.senate.gov/rss/?p=news,McCaskillOffice,senatormccaskill,1.31E+11,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,1820,N00027694,S312,1012014,412243,2109,Claire McCaskill,gIQAiqnb9O,40701,Claire McCaskill
Menéndez,Robert,1/1/1954,M,sen,NJ,,Democrat,http://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,http://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,3.50E+11,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791,N00000699,S306,29608,400272,26961,Bob Menendez,gIQAYgYw6O,29373,Bob Menendez
Nelson,Bill,9/29/1942,M,sen,FL,,Democrat,http://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,http://www.billnelson.senate.gov/contact-bill,,SenBillNelson,,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,859,N00009926,S282,1931,300078,1606,Bill Nelson (Florida),gIQAlLuy9O,14651,Bill Nelson
Sanders,Bernard,9/8/1941,M,sen,VT,,Independent,http://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/comment,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,9124187907,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010,N00000528,S313,994,400357,27110,Bernie Sanders,gIQABiDjMP,29147,Bernie Sanders
Stabenow,Debbie,4/29/1950,F,sen,MI,,Democrat,http://www.stabenow.senate.gov,133 Hart Senate Office Building Washington DC 20510,202-224-4822,http://www.stabenow.senate.gov/?p=contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,,,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531,N00004118,S284,45451,300093,515,Debbie Stabenow,gIQA5t8DAP,29732,Debbie Stabenow
Tester,Jon,8/21/1956,M,sen,MT,,Democrat,http://www.tester.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2644,http://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,2.11E+11,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829,N00027605,S314,1020176,412244,20928,Jon Tester,gIQAw67AAP,40702,Jon Tester
